          DH  INJV           Xt           Mt          XMt          NDH
   -63.13564  10.0      0.00000      0.00000      0.00000      0.00000
   -60.56281  10.0      0.00000      0.00000      0.00000      0.00000
   -56.74067  10.0      0.00000      0.00000      0.00000      0.00000
   -48.59837  10.0      0.00000      0.00000      0.00000      0.00000
   -35.55731  10.0      0.00000      0.00000      0.00000      0.00000
   -21.84602  10.0      0.00000      0.00000      0.00000      0.00000
   -12.07079  10.0      0.00000      0.00000      0.00000      0.00000
    -7.57794  10.0      0.00000      0.00000      0.00000      0.00000
    -5.19764  10.0      0.00000      0.00000      0.00000      0.00000
    -3.58506  10.0      0.00000      0.00000      0.00000      0.00000
    -2.45405  10.0      0.00000      0.00000      0.00000      0.00000
    -2.28234  10.0      0.00000      0.00000      0.00000      0.00000
    -2.11207  10.0      0.00000      0.00000      0.00000      0.00000
    -2.13289  10.0      0.00000      0.00000      0.00000      0.00000
    -1.86564  10.0      0.00000      0.00000      0.00000      0.00000
    -1.79091  10.0      0.00000      0.00000      0.00000      0.00000
    -1.52366  10.0      0.00000      0.00000      0.00000      0.00000
    -1.06532  10.0      0.00000      0.00000      0.00000      0.00000
    -1.37518  10.0      0.00000      0.00000      0.00000      0.00000
    -1.39697  10.0      0.00000      0.00000      0.00000      0.00000
    -1.41827  10.0      0.00000      0.00000      0.00000      0.00000
    -1.24946  10.0      0.00000      0.00000      0.00000      0.00000
    -1.17522  10.0      0.00000      0.00000      0.00000      0.00000
    -1.19701  10.0      0.00000      0.00000      0.00000      0.00000
    -0.93169  10.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
