          DH  INJV           Xt           Mt          XMt          NDH
   -50.39142  10.0      0.00000      0.00000      0.00000      0.00000
   -49.60627  10.0      0.00000      0.00000      0.00000      0.00000
   -51.94262  10.0      0.00000      0.00000      0.00000      0.00000
   -49.10601  10.0      0.00000      0.00000      0.00000      0.00000
   -50.96292  10.0      0.00000      0.00000      0.00000      0.00000
   -40.73192  10.0      0.00000      0.00000      0.00000      0.00000
   -39.30722  10.0      0.00000      0.00000      0.00000      0.00000
   -34.27901  10.0      0.00000      0.00000      0.00000      0.00000
   -28.29064  10.0      0.00000      0.00000      0.00000      0.00000
   -21.98335  10.0      0.00000      0.00000      0.00000      0.00000
   -15.19490  10.0      0.00000      0.00000      0.00000      0.00000
    -8.32726  10.0      0.00000      0.00000      0.00000      0.00000
    -5.14105  10.0      0.00000      0.00000      0.00000      0.00000
    -5.39696  10.0      0.00000      0.00000      0.00000      0.00000
    -5.49321  10.0      0.00000      0.00000      0.00000      0.00000
    -3.58821  10.0      0.00000      0.00000      0.00000      0.00000
    -2.08432  10.0      0.00000      0.00000      0.00000      0.00000
    -1.22082  10.0      0.00000      0.00000      0.00000      0.00000
    -2.11713  10.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
