                                             N           N_std          DeltaG      DeltaG_std          DeltaH      DeltaH_std          DeltaS      DeltaS_std              P0          P0_std
1_MCS-ITC                         1.0100000000    0.0100000000   -8.2935041945    0.0493737419   -8.9000000000    0.1000000000   -0.0020341969    0.0003740558    0.0161600000    0.0001600000
3_VP-ITC                          0.8100000000    0.0100000000   -8.3129316695    0.0143343122  -11.8000000000    0.0200000000   -0.0116956845    0.0000825301    0.0340200000    0.0004200000
4_VP-ITC                          0.9290000000    0.0070000000   -8.0821796752    0.0352669585  -10.8000000000    0.1000000000   -0.0091156140    0.0003556485    0.0213670000    0.0001610000
5_VP-ITC                          0.9870000000    0.0030000000   -8.0821796752    0.0211601751  -10.2000000000    0.0400000000   -0.0071032042    0.0001517763    0.0384930000    0.0001170000
6_VP-ITC                          0.9210000000    0.0030000000   -8.2310796797    0.0219438853  -10.9500000000    0.0500000000   -0.0091193034    0.0001831408    0.0340770000    0.0001110000
7_MCS-ITC                         1.0300000000    0.0100000000   -8.2419512673    0.1077245277  -10.0000000000    0.2000000000   -0.0058965243    0.0007619198    0.0535600000    0.0005200000
8_VP-ITC                          0.9700000000    0.0500000000   -7.9741569054    0.1692814007   -4.3000000000    0.3000000000    0.0123231826    0.0011553415    0.0064990000    0.0003350000
9_VP-ITC                          0.8910000000    0.0020000000   -8.2682882655    0.0154561279  -11.5300000000    0.0400000000   -0.0109398348    0.0001438279    0.0498960000    0.0001120000
10_VP-ITC                         0.9600000000    0.0200000000   -8.1230569099    0.1316633116  -12.0000000000    1.0000000000   -0.0130033308    0.0033829628    0.0307200000    0.0006400000
11_VP-ITC                         1.2500000000    0.0100000000   -8.3409282904    0.0455757617   -9.3000000000    0.1000000000   -0.0032167423    0.0003685933    0.0107500000    0.0000860000
12_VP-ITC                         1.0000000000    0.0030000000   -8.1913768456    0.0175985615  -10.5100000000    0.0400000000   -0.0077767002    0.0001465713    0.0280000000    0.0000840000
13_VP-ITC                         0.9000000000    0.0200000000   -8.2419512673    0.0538622639  -12.6000000000    0.3000000000   -0.0146169671    0.0010222938    0.0099000000    0.0002200000
14_MCS-ITC                        0.5500000000    0.0800000000   -7.9741569054    0.2539221010  -15.0000000000    4.0000000000   -0.0235647932    0.0134430704    0.0115500000    0.0016800000
