DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-3.01358	1.5001	5.8694E-4	0.02996	0.118	-5022.30646	-4971.5704	-50.73606
-2.95906	1.5001	0.00351	0.02974	0.21712	-4931.44055	-4900.4777	-30.96285
-2.80981	1.5001	0.00641	0.02952	0.31696	-4682.70298	-4758.281	75.57802
-2.64411	1.5001	0.00929	0.0293	0.41753	-4406.55403	-4431.06274	24.50872
-2.19163	1.5	0.01215	0.02909	0.5188	-3652.71665	-3622.7197	-29.99695
-1.29377	1.5	0.01498	0.02888	0.62079	-2156.27885	-2178.86086	22.58201
-0.57944	1.5	0.01779	0.02866	0.7235	-965.73774	-993.5757	27.83795
-0.47005	1.5	0.02059	0.02845	0.82693	-783.42179	-466.9307	-316.49109
0.04395	1.5	0.02336	0.02825	0.93108	73.25645	-253.7226	326.97905
-0.00234	1.5	0.02611	0.02804	1.03595	-3.89746	-155.52013	151.62266
0.00818	1.5	0.02883	0.02783	1.14154	13.63448	-103.85351	117.48799
0.05843	1.5	0.03154	0.02763	1.24784	97.38917	-73.72906	171.11823
0.05057	1.5	0.03423	0.02743	1.35486	84.29094	-54.75248	139.04342
-0.09028	1.5	0.03689	0.02723	1.46261	-150.46512	-42.06798	-108.39713
-0.06416	1.5	0.03953	0.02703	1.57107	-106.93184	-33.18426	-73.74758
-0.24238	1.5	0.04215	0.02683	1.68025	-403.96088	-26.72371	-377.23717
0.0181	1.5	0.04475	0.02663	1.79015	30.16296	-21.87709	52.04006
-0.13279	1.5	0.04733	0.02644	1.90076	-221.31036	-18.14479	-203.16558
-0.12415	1.5	0.04988	0.02624	2.0121	-206.92178	-15.20534	-191.71644
-0.05618	1.5	0.05241	0.02605	2.12416	-93.62838	-12.84458	-80.78379
	--	0.05493	0.02586	--			
