DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-3.11813	1.2	9.77755E-4	0.02993	0.11141	-6481.87945	-437.62672	-6044.25273
-3.31152	1.2	0.00331	0.02975	0.19061	--	--	-6021.50011
-2.96198	1.2	0.00564	0.02958	0.27027	-6136.26352	-147.75959	-5988.50393
-2.87152	1.2	0.00795	0.0294	0.35038	-5937.57353	0.88722	-5938.46075
-2.83042	1.2	0.01024	0.02923	0.43096	-5841.66743	16.33515	-5858.00258
-2.3833	1.2	0.01252	0.02906	0.512	-4899.80944	818.89674	-5718.70618
-2.72152	1.2	0.01479	0.02889	0.5935	-5594.01899	-138.35641	-5455.66258
-3.10441	1.2	0.01705	0.02872	0.67545	--	--	-4921.76681
-2.01863	1.2	0.01929	0.02855	0.75787	-4108.68479	-219.0862	-3889.59859
-1.18117	1.2	0.02151	0.02839	0.84075	-2353.39485	112.2279	-2465.62274
-0.6738	1.2	0.02373	0.02822	0.92409	-1285.71843	44.53114	-1330.24957
-0.42662	1.2	0.02592	0.02805	1.00789	-760.05337	-36.986	-723.06737
-0.23353	1.2	0.02811	0.02789	1.09214	-347.02767	80.85633	-427.884
-0.18979	1.2	0.03028	0.02773	1.17686	-245.08191	30.48807	-275.56998
-0.16297	1.2	0.03244	0.02756	1.26204	-178.31833	11.48361	-189.80194
-0.1309	1.2	0.03458	0.0274	1.34768	-100.57507	37.02671	-137.60178
-0.14379	1.2	0.03671	0.02724	1.43378	-116.42765	-12.66866	-103.75899
-0.15298	1.2	0.03883	0.02708	1.52033	-124.52338	-43.84805	-80.67534
-0.10199	1.2	0.04093	0.02692	1.60735	-7.1823	57.08696	-64.26926
-0.19779	1.2	0.04302	0.02676	1.69483	-195.59398	-143.38604	-52.20794
-0.15384	1.2	0.04509	0.02661	1.78277	-92.78759	-49.70097	-43.08662
-0.10382	1.2	0.04715	0.02645	1.87117	22.7081	58.72936	-36.02126
-0.08959	1.2	0.0492	0.02629	1.96002	63.69881	94.13314	-30.43433
	--	0.05123	0.02614	--			
