DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-3.69773	1.5	5.8694E-4	0.02996	0.11799	-6144.3987	-6.04484	-6138.35386
-4.18276	1.5	0.00351	0.02974	0.21711	--	--	-6106.34888
-3.75729	1.5	0.00641	0.02952	0.31694	-6212.47531	-158.85285	-6053.62246
-3.56166	1.5	0.00929	0.0293	0.4175	-5870.67758	88.24959	-5958.92717
-3.3885	1.5	0.01214	0.02909	0.51877	-5566.21066	201.27518	-5767.48584
-3.39995	1.5	0.01498	0.02888	0.62077	-5569.30638	-247.33226	-5321.97412
-2.47203	1.5	0.01779	0.02866	0.72348	-4006.68614	231.34588	-4238.03202
-1.68034	1.5	0.02059	0.02845	0.82691	-2670.98037	-222.68599	-2448.29438
-0.65551	1.5	0.02336	0.02825	0.93105	-946.6194	161.05491	-1107.67431
-0.42657	1.5	0.02611	0.02804	1.03592	-548.62125	-18.68889	-529.93236
-0.22793	1.5	0.02883	0.02783	1.14151	-201.00934	91.77741	-292.78675
-0.23652	1.5	0.03154	0.02763	1.24781	-198.66213	-17.13975	-181.52238
-0.20995	1.5	0.03422	0.02743	1.35484	-137.60294	-15.47962	-122.12332
-0.1755	1.5	0.03689	0.02723	1.46258	-63.30019	23.80538	-87.10558
-0.19866	1.5	0.03953	0.02703	1.57104	-84.90995	-20.05503	-64.85493
-0.16795	1.5	0.04215	0.02683	1.68022	-16.62063	33.25518	-49.87581
	--	0.04475	0.02663	--			
