DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-3.54111	1.5001	5.8694E-4	0.02996	0.118	-5901.4586	-6499.44608	597.98748
-3.93804	1.5001	0.00351	0.02974	0.21712	-6562.96963	-6463.59688	-99.37274
-3.93389	1.5001	0.00641	0.02952	0.31696	-6556.04455	-6404.56641	-151.47814
-4.02812	1.5001	0.00929	0.0293	0.41753	-6713.08968	-6298.67889	-414.41079
-3.62826	1.5001	0.01215	0.02909	0.51881	-6046.6999	-6085.40551	38.70561
-3.28572	1.5001	0.01498	0.02888	0.62081	-5475.84122	-5594.50367	118.66245
-2.76067	1.5001	0.0178	0.02866	0.72352	-4600.80775	-4431.45399	-169.35376
-1.48535	1.5001	0.02059	0.02845	0.82696	-2475.42418	-2570.66804	95.24386
-0.63284	1.5001	0.02336	0.02825	0.93112	-1054.6668	-1184.61957	129.95276
-0.37275	1.5001	0.02611	0.02804	1.03599	-621.20393	-575.42817	-45.77577
-0.29907	1.5001	0.02884	0.02783	1.14159	-498.42021	-320.64519	-177.77503
-0.18639	1.5001	0.03154	0.02763	1.2479	-310.63467	-199.76684	-110.86783
-0.30211	1.5001	0.03423	0.02743	1.35493	-503.47526	-134.81142	-368.66384
-0.36682	1.5001	0.03689	0.02723	1.46268	-611.32167	-96.36058	-514.96109
-0.15124	1.5001	0.03953	0.02703	1.57115	-252.04673	-71.86196	-180.18477
0	1.5001	0.04215	0.02683	1.68034	0	-55.33862	55.33862
	--	0.04475	0.02663	--			
