DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-3.31206	1.3	5.8694E-4	0.02996	0.10483	-6349.41475	-127.98319	-6221.43156
-3.23495	1.3	0.00312	0.02977	0.19061	-6184.80182	6.06085	-6190.86267
-3.22037	1.3	0.00564	0.02958	0.27692	-6140.35737	2.83485	-6143.19222
-3.19177	1.3	0.00814	0.02939	0.36378	-6068.83887	-5.09825	-6063.74062
-3.06307	1.3	0.01062	0.0292	0.45118	-5804.71061	114.41155	-5919.12216
-2.94869	1.3	0.01309	0.02902	0.53911	-5568.04059	57.77721	-5625.8178
-2.64382	1.3	0.01554	0.02883	0.62759	-4964.92035	10.16796	-4975.0883
-2.04899	1.3	0.01798	0.02865	0.71661	-3804.07664	-141.07309	-3663.00356
-1.07535	1.3	0.0204	0.02847	0.80616	-1914.67951	130.17582	-2044.85533
-0.59602	1.3	0.0228	0.02829	0.89626	-975.75404	30.26328	-1006.01732
-0.40245	1.3	0.02519	0.02811	0.98689	-586.26963	-54.54397	-531.72565
-0.26818	1.3	0.02756	0.02793	1.07807	-310.70476	3.8225	-314.52725
-0.2512	1.3	0.02992	0.02775	1.16979	-260.61037	-56.70047	-203.9099
-0.26561	1.3	0.03226	0.02758	1.26204	-270.78613	-129.30524	-141.48089
-0.22632	1.3	0.03458	0.0274	1.35484	-177.58527	-74.35203	-103.23324
-0.165	1.3	0.03689	0.02723	1.44817	-41.89941	36.35116	-78.25057
-0.19768	1.3	0.03918	0.02705	1.54205	-86.90744	-25.82066	-61.08678
-0.18428	1.3	0.04145	0.02688	1.63646	-43.18145	5.62451	-48.80596
-0.14399	1.3	0.04371	0.02671	1.73142	52.37314	92.09443	-39.72129
	--	0.04595	0.02654	--			
