DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-3.31258	1.3001	5.8694E-4	0.02996	0.10484	-6354.5041	-45.40249	-6309.10161
-3.3388	1.3001	0.00312	0.02977	0.19062	-6392.35735	-111.73877	-6280.61858
-3.21494	1.3001	0.00564	0.02958	0.27694	-6141.53566	96.08969	-6237.62534
-3.2752	1.3001	0.00814	0.02939	0.36381	-6244.70065	-75.69314	-6169.00751
-3.1661	1.3001	0.01062	0.0292	0.45121	-6022.09949	29.05915	-6051.15864
-3.02682	1.3001	0.01309	0.02902	0.53915	-5741.40628	87.92501	-5829.33129
-2.78827	1.3001	0.01555	0.02883	0.62764	-5269.72527	100.96443	-5370.6897
-2.39417	1.3001	0.01798	0.02865	0.71666	-4498.85729	-85.75764	-4413.09965
-1.58737	1.3001	0.0204	0.02847	0.80622	-2934.33589	-41.62356	-2892.71234
-0.83105	1.3001	0.02281	0.02829	0.89633	-1466.77966	69.10216	-1535.88183
-0.48113	1.3001	0.02519	0.02811	0.98697	-780.64054	18.65511	-799.29565
-0.28199	1.3001	0.02757	0.02793	1.07815	-384.35793	71.08057	-455.4385
-0.2708	1.3001	0.02992	0.02775	1.16988	-349.39951	-63.91327	-285.48624
-0.20975	1.3001	0.03226	0.02758	1.26214	-218.49537	-25.6019	-192.89347
-0.17797	1.3001	0.03458	0.0274	1.35494	-143.79166	-5.90478	-137.88688
-0.16777	1.3001	0.03689	0.02723	1.44829	-110.49972	-7.63999	-102.85974
-0.202	1.3001	0.03918	0.02705	1.54217	-162.57189	-83.27944	-79.29245
-0.18774	1.3001	0.04146	0.02688	1.63659	-121.32061	-58.60112	-62.71949
-0.10419	1.3001	0.04371	0.02671	1.73155	53.24799	103.88522	-50.63723
	--	0.04596	0.02654	--			
