DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-3.18434	1.5	5.8694E-4	0.02996	0.11799	-5307.22635	-5231.6059	-75.62045
-2.904	1.5	0.00351	0.02974	0.21711	-4839.99516	-5190.29281	350.29765
-3.25013	1.5	0.00641	0.02952	0.31694	-5416.89112	-5118.61741	-298.27371
-3.07832	1.5	0.00929	0.0293	0.4175	-5130.53536	-4980.86174	-149.67362
-2.65629	1.5	0.01214	0.02909	0.51877	-4427.15284	-4680.32277	253.16993
-2.4011	1.5	0.01498	0.02888	0.62077	-4001.83101	-3967.38315	-34.44785
-1.65899	1.5	0.01779	0.02866	0.72348	-2764.991	-2606.62078	-158.37021
-0.58943	1.5	0.02059	0.02845	0.82691	-982.38092	-1278.92976	296.54884
-0.53769	1.5	0.02336	0.02825	0.93105	-896.15123	-605.72056	-290.43067
-0.04909	1.5	0.02611	0.02804	1.03592	-81.80887	-324.5514	242.74254
-0.24082	1.5	0.02883	0.02783	1.14151	-401.35874	-196.05929	-205.29944
-0.24768	1.5	0.03154	0.02763	1.24781	-412.7956	-129.38702	-283.40857
-0.19507	1.5	0.03422	0.02743	1.35484	-325.12294	-91.00103	-234.1219
0.24111	1.5	0.03689	0.02723	1.46258	401.85548	-67.07034	468.92583
0.04267	1.5	0.03953	0.02703	1.57104	71.12257	-51.20823	122.3308
-0.00732	1.5	0.04215	0.02683	1.68022	-12.19385	-40.17419	27.98035
-0.27275	1.5	0.04475	0.02663	1.79012	-454.58882	-32.19391	-422.39492
0.25974	1.5	0.04732	0.02644	1.90073	432.89509	-26.23386	459.12896
0.00681	1.5	0.04988	0.02624	2.01207	11.35618	-21.66068	33.01686
-0.27213	1.5	0.05241	0.02605	2.12413	-453.54712	-18.06939	-435.47773
0.20174	1.5	0.05493	0.02586	2.2369	336.23079	-15.19168	351.42246
-0.13796	1.5	0.05742	0.02567	2.35039	-229.93717	-12.84423	-217.09294
0.10803	1.5	0.05988	0.02548	2.4646	180.0525	-10.8985	190.951
-0.09054	1.5	0.06233	0.02529	2.57953	-150.89504	-9.26223	-141.63281
0.03633	1.5	0.06476	0.0251	2.69518	60.54476	-7.86787	68.41263
	--	0.06716	0.02492	--			
