DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-2.74223	1.3001	5.8694E-4	0.02996	0.10484	-5262.95404	-51.77214	-5211.1819
-2.72541	1.3001	0.00312	0.02977	0.19062	-5222.27868	-30.86653	-5191.41214
-2.74607	1.3001	0.00564	0.02958	0.27694	-5253.64969	-92.07654	-5161.57316
-2.65265	1.3001	0.00814	0.02939	0.36381	-5065.5809	48.35201	-5113.93291
-2.60762	1.3001	0.01062	0.0292	0.45121	-4970.52098	61.36267	-5031.88366
-2.55594	1.3001	0.01309	0.02902	0.53915	-4862.60883	13.29803	-4875.90686
-2.35631	1.3001	0.01555	0.02883	0.62764	-4470.15416	73.84845	-4544.0026
-1.9955	1.3001	0.01798	0.02865	0.71666	-3767.72021	33.71242	-3801.43263
-1.40655	1.3001	0.0204	0.02847	0.80622	-2626.51917	-126.94097	-2499.5782
-0.677	1.3001	0.02281	0.02829	0.89633	-1214.92084	62.05646	-1276.9773
-0.31565	1.3001	0.02519	0.02811	0.98697	-511.27329	122.08317	-633.35646
-0.25278	1.3001	0.02757	0.02793	1.07815	-381.53523	-32.23559	-349.29964
-0.16763	1.3001	0.02992	0.02775	1.16988	-208.91275	5.69806	-214.61081
-0.12015	1.3001	0.03226	0.02758	1.26214	-108.66212	34.49247	-143.15459
-0.15573	1.3001	0.03458	0.0274	1.35494	-168.0762	-66.64156	-101.43464
-0.11632	1.3001	0.03689	0.02723	1.44829	-83.24546	-8.06458	-75.18088
-0.11787	1.3001	0.03918	0.02705	1.54217	-77.12703	-19.46252	-57.66451
-0.14052	1.3001	0.04146	0.02688	1.63659	-111.52395	-66.10179	-45.42216
-0.13456	1.3001	0.04371	0.02671	1.73155	-90.85737	-54.31961	-36.53776
	--	0.04596	0.02654	--			
