DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-2.92307	1.5	5.8694E-4	0.02996	0.11799	-4871.79006	-4608.10289	-263.68717
-2.54634	1.5	0.00351	0.02974	0.21711	-4243.89723	-4545.18501	301.28778
-2.63208	1.5	0.00641	0.02952	0.31694	-4386.80165	-4438.34298	51.54133
-2.46311	1.5	0.00929	0.0293	0.4175	-4105.18674	-4242.46035	137.27361
-2.39172	1.5	0.01214	0.02909	0.51877	-3986.20086	-3859.33205	-126.8688
-2.02888	1.5	0.01498	0.02888	0.62077	-3381.45841	-3134.12294	-247.33547
-1.18273	1.5	0.01779	0.02866	0.72348	-1971.22133	-2093.478	122.25666
-0.62831	1.5	0.02059	0.02845	0.82691	-1047.19043	-1182.4365	135.24607
-0.25187	1.5	0.02336	0.02825	0.93105	-419.78091	-653.87646	234.09554
-0.3644	1.5	0.02611	0.02804	1.03592	-607.33596	-387.27118	-220.06479
-0.35559	1.5	0.02883	0.02783	1.14151	-592.64688	-248.356	-344.29088
-0.12738	1.5	0.03154	0.02763	1.24781	-212.3046	-170.16665	-42.13795
-0.26537	1.5	0.03422	0.02743	1.35484	-442.29007	-122.75249	-319.53758
-0.02562	1.5	0.03689	0.02723	1.46258	-42.70692	-92.14889	49.44197
-0.08728	1.5	0.03953	0.02703	1.57104	-145.47298	-71.36654	-74.10644
-0.05271	1.5	0.04215	0.02683	1.68022	-87.84222	-56.6567	-31.18551
-0.11615	1.5	0.04475	0.02663	1.79012	-193.5766	-45.88292	-147.69368
-0.27143	1.5	0.04732	0.02644	1.90073	-452.37599	-37.76287	-414.61312
-0.12484	1.5	0.04988	0.02624	2.01207	-208.06348	-31.49228	-176.57121
-0.13215	1.5	0.05241	0.02605	2.12413	-220.24632	-26.5474	-193.69892
-0.23715	1.5	0.05493	0.02586	2.2369	-395.25591	-22.57602	-372.6799
-0.18553	1.5	0.05742	0.02567	2.35039	-309.21792	-19.33454	-289.88339
0.00441	1.5	0.05988	0.02548	2.4646	7.35613	-16.65037	24.00649
	--	0.06233	0.02529	--			
