DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-0.75515	0.3	0	0.03	0.01959	-6292.88194	-5575.25981	-717.62213
-2.64324	1.3001	5.8694E-4	0.02996	0.10484	-5082.76558	-5488.81187	406.04629
-3.00043	1.3001	0.00312	0.02977	0.19062	-5769.61125	-5321.62791	-447.98335
-2.17118	1.3001	0.00564	0.02958	0.27694	-4175.02083	-5110.84517	935.82434
-2.74865	1.3001	0.00814	0.02939	0.36381	-5285.46702	-4846.66783	-438.79919
-1.95504	1.3001	0.01062	0.0292	0.45121	-3759.40621	-4520.66764	761.26143
-2.38561	1.3001	0.01309	0.02902	0.53915	-4587.36447	-4129.67562	-457.68885
-1.87051	1.3001	0.01555	0.02883	0.62764	-3596.86001	-3680.84419	83.98418
-1.28886	1.3001	0.01798	0.02865	0.71666	-2478.39547	-3194.98519	716.58971
-1.81159	1.3001	0.0204	0.02847	0.80622	-3483.56173	-2704.03088	-779.53084
-1.68916	1.3001	0.02281	0.02829	0.89633	-3248.14046	-2241.76239	-1006.37806
-3.79785	1.3001	0.02519	0.02811	0.98697	--	-1833.23138	--
-0.41633	1.3001	0.02757	0.02793	1.07815	-800.56854	-1489.71662	689.14808
-0.31896	1.3001	0.02992	0.02775	1.16988	-613.33636	-1210.55198	597.21563
-0.77704	1.3001	0.03226	0.02758	1.26214	-1494.18876	-988.1482	-506.04056
-0.28448	1.3001	0.03458	0.0274	1.35494	-547.03149	-812.51964	265.48815
0.21716	1.3001	0.03689	0.02723	1.44829	417.58572	-673.97922	1091.56494
0.11323	1.3001	0.03918	0.02705	1.54217	217.73663	-564.27015	782.00678
-1.08764	1.3001	0.04146	0.02688	1.63659	-2091.45683	-476.79747	-1614.65936
-0.41367	1.3001	0.04371	0.02671	1.73155	-795.4676	-406.46561	-389.00199
	--	0.04596	0.02654	--			
