DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-3.05998	1.5	5.8694E-4	0.02996	0.11799	-5099.96098	-5207.41597	107.45499
-3.28131	1.5	0.00351	0.02974	0.21711	-5468.84785	-5192.9851	-275.86275
-3.10439	1.5	0.00641	0.02952	0.31694	-5173.97735	-5170.86596	-3.11139
-3.21121	1.5	0.00929	0.0293	0.4175	-5352.02398	-5134.89464	-217.12934
-2.84966	1.5	0.01214	0.02909	0.51877	-4749.43161	-5071.14805	321.71645
-3.00236	1.5	0.01498	0.02888	0.62077	-5003.93412	-4943.61761	-60.31651
-2.60369	1.5	0.01779	0.02866	0.72348	-4339.4897	-4644.63912	305.14942
-2.46998	1.5	0.02059	0.02845	0.82691	-4116.63972	-3858.81625	-257.82347
-1.31576	1.5	0.02336	0.02825	0.93105	-2192.93224	-2316.64097	123.70873
-0.6074	1.5	0.02611	0.02804	1.03592	-1012.32791	-1006.75939	-5.56852
-0.44293	1.5	0.02883	0.02783	1.14151	-738.22063	-451.97541	-286.24521
-0.02476	1.5	0.03154	0.02763	1.24781	-41.26424	-239.27466	198.01042
0.06724	1.5	0.03422	0.02743	1.35484	112.06868	-144.41538	256.48406
0.02509	1.5	0.03689	0.02723	1.46258	41.80974	-95.41307	137.22282
-0.16345	1.5	0.03953	0.02703	1.57104	-272.42328	-67.15027	-205.27301
0.02637	1.5	0.04215	0.02683	1.68022	43.95636	-49.46156	93.41792
-0.07678	1.5	0.04475	0.02663	1.79012	-127.96813	-37.68047	-90.28766
0.27211	1.5	0.04732	0.02644	1.90073	453.51939	-29.44142	482.96081
-0.01247	1.5	0.04988	0.02624	2.01207	-20.78582	-23.44766	2.66184
-0.03322	1.5	0.05241	0.02605	2.12413	-55.37336	-18.94237	-36.43099
-0.20598	1.5	0.05493	0.02586	2.2369	-343.294	-15.46072	-327.83328
0.0013	1.5	0.05742	0.02567	2.35039	2.16317	-12.70483	14.868
-0.15358	1.5	0.05988	0.02548	2.4646	-255.96581	-10.47692	-245.48889
0.46253	1.5	0.06233	0.02529	2.57953	770.87687	-8.6416	779.51847
0.01157	1.5	0.06476	0.0251	2.69518	19.288	-7.10375	26.39175
-0.00699	1.5	0.06716	0.02492	2.81155	-11.65666	-5.79498	-5.86168
	--	0.06954	0.02474	--			
