DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-2.68502	1.3001	5.8694E-4	0.02996	0.10484	-5155.46109	-87.4972	-5067.96389
-2.68159	1.3001	0.00312	0.02977	0.19062	-5142.60438	-93.59857	-5049.00581
-2.64189	1.3001	0.00564	0.02958	0.27694	-5059.97563	-39.35974	-5020.61588
-2.63056	1.3001	0.00814	0.02939	0.36381	-5031.85135	-56.09256	-4975.75879
-2.48362	1.3001	0.01062	0.0292	0.45121	-4742.93426	156.65092	-4899.58518
-2.4221	1.3001	0.01309	0.02902	0.53915	-4618.22678	139.2882	-4757.51498
-2.25562	1.3001	0.01555	0.02883	0.62764	-4291.65249	170.44975	-4462.10224
-2.14113	1.3001	0.01798	0.02865	0.71666	-4065.00347	-256.23423	-3808.76924
-1.3698	1.3001	0.0204	0.02847	0.80622	-2575.25207	39.53037	-2614.78244
-0.73246	1.3001	0.02281	0.02829	0.89633	-1343.13136	42.09461	-1385.22597
-0.31501	1.3001	0.02519	0.02811	0.98697	-533.79742	155.84806	-689.64548
-0.25744	1.3001	0.02757	0.02793	1.07815	-416.44303	-39.60424	-376.83879
-0.23415	1.3001	0.02992	0.02775	1.16988	-364.96951	-135.6718	-229.29771
-0.20967	1.3001	0.03226	0.02758	1.26214	-311.18008	-159.41528	-151.7648
-0.13	1.3001	0.03458	0.0274	1.35494	-151.20506	-44.31241	-106.89264
-0.11083	1.3001	0.03689	0.02723	1.44829	-107.53675	-28.67601	-78.86075
-0.13255	1.3001	0.03918	0.02705	1.54217	-142.47055	-82.20095	-60.2696
-0.10494	1.3001	0.04146	0.02688	1.63659	-82.48764	-35.14752	-47.34012
-0.11713	1.3001	0.04371	0.02671	1.73155	-99.0044	-61.00854	-37.99586
-0.10676	1.3001	0.04596	0.02654	1.82706	-72.11155	-41.08655	-31.02501
-0.14093	1.3001	0.04818	0.02637	1.9231	-130.81286	-105.1287	-25.68416
-0.13882	1.3001	0.05039	0.0262	2.01968	-119.70947	-98.21169	-21.49778
-0.09212	1.3001	0.05259	0.02604	2.11681	-22.82836	-4.67767	-18.15068
-0.0707	1.3001	0.05476	0.02587	2.21447	25.4747	40.90225	-15.42755
	--	0.05692	0.02571	--			
