DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-2.71236	1.3001	5.8694E-4	0.02996	0.10484	-5200.42508	-5275.38264	59.70115
-2.70754	1.3001	0.00312	0.02977	0.19062	-5178.67369	-5246.33863	39.92487
-2.70448	1.3001	0.00564	0.02958	0.27694	-5160.2265	-5201.00418	0.47538
-2.68295	1.3001	0.00814	0.02939	0.36381	-5106.17175	-5125.41167	-33.70319
-2.55324	1.3001	0.01062	0.0292	0.45121	-4844.03314	-4988.0843	78.38866
-2.48759	1.3001	0.01309	0.02902	0.53915	-4705.00569	-4712.19611	-71.27004
-2.17936	1.3001	0.01555	0.02883	0.62764	-4099.41435	-4118.15199	-72.59936
-1.62405	1.3001	0.01798	0.02865	0.71666	-3018.64178	-2992.68589	-130.248
-0.74088	1.3001	0.0204	0.02847	0.80622	-1307.33175	-1686.18332	261.52578
-0.39955	1.3001	0.02281	0.02829	0.89633	-637.86372	-855.04639	86.7446
-0.29048	1.3001	0.02519	0.02811	0.98697	-414.94974	-463.75794	-94.8207
-0.2721	1.3001	0.02757	0.02793	1.07815	-366.32619	-278.91771	-244.30682
-0.18101	1.3001	0.02992	0.02775	1.16988	-177.8294	-182.75592	-165.31981
-0.13773	1.3001	0.03226	0.02758	1.26214	-81.1705	-127.717	-137.1264
-0.18015	1.3001	0.03458	0.0274	1.35494	-149.23521	-93.67151	-252.74175
-0.15472	1.3001	0.03689	0.02723	1.44829	-86.75419	-71.28118	-226.23479
-0.16131	1.3001	0.03918	0.02705	1.54217	-85.77216	-55.82096	-254.37528
-0.14009	1.3001	0.04146	0.02688	1.63659	-31.21755	-44.71722	-224.6653
-0.17062	1.3001	0.04371	0.02671	1.73155	-76.10364	-36.4796	-291.60846
	--	0.04596	0.02654	--			
