DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-2.64593	1.3001	5.8694E-4	0.02996	0.10484	-5074.9009	-77.61337	-4997.28753
-2.61974	1.3001	0.00312	0.02977	0.19062	-5013.87164	-35.39188	-4978.47976
-2.62618	1.3001	0.00564	0.02958	0.27694	-5015.50561	-65.41605	-4950.08956
-2.60255	1.3001	0.00814	0.02939	0.36381	-4959.26875	-54.51359	-4904.75516
-2.49277	1.3001	0.01062	0.0292	0.45121	-4737.29359	89.3591	-4826.65269
-2.40539	1.3001	0.01309	0.02902	0.53915	-4558.33394	119.74231	-4678.07626
-2.25698	1.3001	0.01555	0.02883	0.62764	-4261.94302	99.47594	-4361.41895
-1.97104	1.3001	0.01798	0.02865	0.71666	-3701.03047	-50.40675	-3650.62372
-1.35047	1.3001	0.0204	0.02847	0.80622	-2496.58942	-97.22901	-2399.36041
-0.64443	1.3001	0.02281	0.02829	0.89633	-1127.71258	95.16769	-1222.88027
-0.33017	1.3001	0.02519	0.02811	0.98697	-512.1284	92.9552	-605.0836
-0.26029	1.3001	0.02757	0.02793	1.07815	-366.41514	-33.18025	-333.23489
-0.18128	1.3001	0.02992	0.02775	1.16988	-203.08641	1.49156	-204.57797
-0.1736	1.3001	0.03226	0.02758	1.26214	-176.82997	-40.43317	-136.39679
-0.14701	1.3001	0.03458	0.0274	1.35494	-114.17255	-17.55689	-96.61565
-0.16698	1.3001	0.03689	0.02723	1.44829	-140.9545	-69.36169	-71.59281
-0.15695	1.3001	0.03918	0.02705	1.54217	-109.99639	-55.09379	-54.90261
-0.13832	1.3001	0.04146	0.02688	1.63659	-62.42259	-19.18253	-43.24005
-0.1104	1.3001	0.04371	0.02671	1.73155	3.07699	37.85462	-34.77762
	--	0.04596	0.02654	--			
