DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-2.6325	1.3001	5.8694E-4	0.02996	0.10484	-5045.95796	-71.65134	-4974.30662
-2.64569	1.3001	0.00312	0.02977	0.19062	-5058.11902	-103.58229	-4954.53673
-2.56558	1.3001	0.00564	0.02958	0.27694	-4890.77829	33.86237	-4924.64066
-2.59085	1.3001	0.00814	0.02939	0.36381	-4925.98904	-49.19694	-4876.79209
-2.50483	1.3001	0.01062	0.0292	0.45121	-4747.12487	47.02843	-4794.15331
-2.34758	1.3001	0.01309	0.02902	0.53915	-4431.1983	205.49179	-4636.69009
-2.30515	1.3001	0.01555	0.02883	0.62764	-4335.98721	-33.90436	-4302.08285
-1.92583	1.3001	0.01798	0.02865	0.71666	-3592.86552	-28.33714	-3564.52838
-1.26974	1.3001	0.0204	0.02847	0.80622	-2317.46592	-0.0414	-2317.42452
-0.71853	1.3001	0.02281	0.02829	0.89633	-1243.66199	-57.28546	-1186.37653
-0.34534	1.3001	0.02519	0.02811	0.98697	-512.07006	83.39295	-595.463
-0.20943	1.3001	0.02757	0.02793	1.07815	-236.68988	95.1349	-331.82478
-0.19889	1.3001	0.02992	0.02775	1.16988	-202.30286	3.03165	-205.33451
-0.16057	1.3001	0.03226	0.02758	1.26214	-114.40859	23.23001	-137.6386
-0.14211	1.3001	0.03458	0.0274	1.35494	-64.6099	33.2575	-97.8674
-0.17097	1.3001	0.03689	0.02723	1.44829	-105.73889	-33.01232	-72.72656
-0.19039	1.3001	0.03918	0.02705	1.54217	-128.63104	-72.73514	-55.8959
-0.18197	1.3001	0.04146	0.02688	1.63659	-97.88459	-53.78235	-44.10225
-0.15739	1.3001	0.04371	0.02671	1.73155	-36.00105	-0.47499	-35.52606
	--	0.04596	0.02654	--			
