DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-2.73192	1.3001	5.8694E-4	0.02996	0.10484	-5236.39719	-84.76516	-5151.63203
-2.74811	1.3001	0.00312	0.02977	0.19062	-5253.7072	-125.73237	-5127.97484
-2.62945	1.3001	0.00564	0.02958	0.27694	-5011.60285	78.79977	-5090.40263
-2.64037	1.3001	0.00814	0.02939	0.36381	-5018.61299	7.55526	-5026.16825
-2.51912	1.3001	0.01062	0.0292	0.45121	-4771.36153	133.44504	-4904.80657
-2.42878	1.3001	0.01309	0.02902	0.53915	-4583.48068	61.25023	-4644.73091
-2.18097	1.3001	0.01555	0.02883	0.62764	-4092.70594	-64.84053	-4027.86541
-1.52323	1.3001	0.01798	0.02865	0.71666	-2813.57011	-41.68686	-2771.88325
-0.77036	1.3001	0.0204	0.02847	0.80622	-1351.40298	49.29006	-1400.69303
-0.37013	1.3001	0.02281	0.02829	0.89633	-567.27344	88.87981	-656.15325
-0.29097	1.3001	0.02519	0.02811	0.98697	-400.45421	-55.51715	-344.93705
-0.20875	1.3001	0.02757	0.02793	1.07815	-227.64513	-22.28636	-205.35877
-0.22132	1.3001	0.02992	0.02775	1.16988	-237.0351	-102.86496	-134.17013
-0.16089	1.3001	0.03226	0.02758	1.26214	-105.96727	-12.24508	-93.72219
-0.1951	1.3001	0.03458	0.0274	1.35494	-156.79615	-88.03775	-68.7584
-0.18104	1.3001	0.03689	0.02723	1.44829	-114.70646	-62.36554	-52.34092
-0.16551	1.3001	0.03918	0.02705	1.54217	-69.71809	-28.72524	-40.99285
-0.13332	1.3001	0.04146	0.02688	1.63659	7.40443	40.23358	-32.82915
-0.14864	1.3001	0.04371	0.02671	1.73155	-6.75338	20.00722	-26.7606
	--	0.04596	0.02654	--			
