                                             N           N_std          DeltaG      DeltaG_std          DeltaH      DeltaH_std          DeltaS      DeltaS_std              P0          P0_std
ubtln36a                          0.7620000000    0.0032100000   -9.0413633524    0.0452747897   -5.2760000000    0.0336800000    0.0126290906    0.0001892613    0.0228600000    0.0000963000
ubtln36d                          0.7740000000    0.0055600000   -9.0272222300    0.0767081903   -5.1310000000    0.0557700000    0.0130679934    0.0003180916    0.0232200000    0.0001668000
ubtln36e                          0.7040000000    0.0089200000   -8.9294149702    0.1196785743   -5.3620000000    0.1003000000    0.0119651684    0.0005237321    0.0211200000    0.0002676000
ubtln36f                          0.7620000000    0.0036600000   -9.0469266318    0.0516347824   -5.0590000000    0.0368300000    0.0133755715    0.0002127250    0.0228600000    0.0001098000
ubtln36g                          0.7580000000    0.0038500000   -9.0214699042    0.0536126582   -5.0380000000    0.0386900000    0.0133606235    0.0002217518    0.0227400000    0.0001155000
ubtln36h                          0.6900000000    0.0035600000   -9.0713344955    0.0542004126   -5.2200000000    0.0406400000    0.0129174392    0.0002272156    0.0207000000    0.0001068000
ubtln36b                          0.7430000000    0.0064400000   -9.1554106588    0.1084685395   -5.0780000000    0.0687900000    0.0136757024    0.0004307984    0.0222900000    0.0001932000
19052014ubtln36test2              0.7700000000    0.0114000000   -9.0068399040    0.1599709237   -5.0430266000    0.1121894164    0.0132946950    0.0006553405    0.0231000000    0.0003420000
ubtln36a14082014                  0.6650000000    0.0169000000   -8.5719742489    0.1820656731   -4.7609995200    0.1689533414    0.0127820719    0.0008330741    0.0199500000    0.0005070000
ubtln36b18082014                  0.6720000000    0.0138000000   -8.9243292316    0.1974949675   -4.6199859800    0.1390536908    0.0144368380    0.0008101195    0.0201600000    0.0004140000
ubtln36c14082014                  0.8680000000    0.0136000000   -9.1735725376    0.2056928718   -5.2557419400    0.1290154388    0.0131404682    0.0008143738    0.0260400000    0.0004080000
