DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-3.27106	1.5	5.8694E-4	0.02996	0.11799	-5451.7608	-5403.01363	-48.74717
-3.2415	1.5	0.00351	0.02974	0.21711	-5402.49475	-5385.13906	-17.35569
-3.12081	1.5	0.00641	0.02952	0.31694	-5201.34618	-5356.43843	155.09225
-3.22585	1.5	0.01498	0.02888	0.62077	-5376.41751	-4989.47099	-386.94652
-2.32749	1.5	0.01779	0.02866	0.72348	-3879.14233	-4392.16654	513.02421
-1.96926	1.5	0.02059	0.02845	0.82691	-3282.09708	-2935.55704	-346.54004
-0.72709	1.5	0.02336	0.02825	0.93105	-1211.81786	-1296.63988	84.82202
-0.09379	1.5	0.02611	0.02804	1.03592	-156.31161	-538.01482	381.70321
-0.19377	1.5	0.02883	0.02783	1.14151	-322.94845	-266.90028	-56.04817
-0.29095	1.5	0.03154	0.02763	1.24781	-484.91735	-154.54674	-330.37061
0.07758	1.5	0.03422	0.02743	1.35484	129.29604	-99.3885	228.68455
0.04689	1.5	0.03689	0.02723	1.46258	78.15031	-68.67256	146.82287
-0.31812	1.5	0.03953	0.02703	1.57104	-530.20355	-49.92769	-480.27586
-0.1731	1.5	0.04215	0.02683	1.68022	-288.50279	-37.6775	-250.82529
-0.14821	1.5	0.04475	0.02663	1.79012	-247.02431	-29.23591	-217.78841
-0.15951	1.5	0.04732	0.02644	1.90073	-265.85185	-23.1672	-242.68465
-0.0457	1.5	0.04988	0.02624	2.01207	-76.17186	-18.64998	-57.52188
-0.18205	1.5	0.05241	0.02605	2.12413	-303.41412	-15.18776	-288.22636
-0.18738	1.5	0.05493	0.02586	2.2369	-312.29797	-12.46656	-299.83141
-0.15229	1.5	0.05742	0.02567	2.35039	-253.81562	-10.28019	-243.53543
-0.27299	1.5	0.05988	0.02548	2.4646	-454.97636	-8.48882	-446.48754
-0.02137	1.5	0.06233	0.02529	2.57953	-35.61225	-6.99499	-28.61726
	--	0.06476	0.0251	--			
