DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-3.16623	1.5	5.8694E-4	0.02996	0.11799	-5275.02359	-107.99711	-5167.02648
-3.12929	1.5	0.00351	0.02974	0.21711	-5211.74749	-56.68173	-5155.06576
-3.14338	1.5	0.00641	0.02952	0.31694	-5233.50776	-96.07746	-5137.43029
-3.09675	1.5	0.00929	0.0293	0.4175	-5154.04919	-43.81853	-5110.23067
-3.02653	1.5	0.01214	0.02909	0.51877	-5035.26648	30.16697	-5065.43345
-2.94627	1.5	0.01498	0.02888	0.62077	-4899.75494	84.7613	-4984.51623
-2.79039	1.5	0.01779	0.02866	0.72348	-4638.17307	180.57651	-4818.74958
-2.60753	1.5	0.02059	0.02845	0.82691	-4331.63674	93.2311	-4424.86785
-2.13654	1.5	0.02336	0.02825	0.93105	-3544.85022	-88.85771	-3455.99251
-1.20036	1.5	0.02611	0.02804	1.03592	-1982.73609	-63.65127	-1919.08482
-0.45019	1.5	0.02883	0.02783	1.14151	-730.63284	117.68931	-848.32215
-0.2203	1.5	0.03154	0.02763	1.24781	-345.65992	60.31025	-405.97017
-0.09969	1.5	0.03422	0.02743	1.35484	-142.79167	82.65003	-225.4417
-0.0937	1.5	0.03689	0.02723	1.46258	-130.95559	9.39019	-140.34578
-0.07625	1.5	0.03953	0.02703	1.57104	-100.00696	-5.35745	-94.64951
-0.06519	1.5	0.04215	0.02683	1.68022	-79.68001	-12.11612	-67.5639
-0.0434	1.5	0.04475	0.02663	1.79012	-41.47817	8.79116	-50.26933
-0.0683	1.5	0.04732	0.02644	1.90073	-81.06753	-42.49388	-38.57365
-0.06317	1.5	0.04988	0.02624	2.01207	-70.60256	-40.30739	-30.29517
-0.02514	1.5	0.05241	0.02605	2.12413	-5.28287	18.93052	-24.21339
-0.05028	1.5	0.05493	0.02586	2.2369	-45.23423	-25.62987	-19.60436
-0.06482	1.5	0.05742	0.02567	2.35039	-67.51609	-51.49853	-16.01757
-0.03418	1.5	0.05988	0.02548	2.4646	-14.4892	-1.32804	-13.16117
-0.06939	1.5	0.06233	0.02529	2.57953	-71.18366	-60.34407	-10.83959
	--	0.06476	0.0251	--			
