DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-2.63507	1.5	5.8694E-4	0.02996	0.11799	-4391.7811	-4399.84333	8.06223
-2.66413	1.5	0.00351	0.02974	0.21711	-4440.21046	-4381.23215	-58.97831
-2.42948	1.5	0.00641	0.02952	0.31694	-4049.12628	-4349.92845	300.80217
-2.6615	1.5	0.00929	0.0293	0.4175	-4435.82714	-4291.91354	-143.91361
-2.45132	1.5	0.01214	0.02909	0.51877	-4085.53968	-4168.16118	82.62151
-2.52686	1.5	0.01498	0.02888	0.62077	-4211.42941	-3851.00173	-360.42768
-1.63428	1.5	0.01779	0.02866	0.72348	-2723.80422	-2972.86383	249.05961
-0.98444	1.5	0.02059	0.02845	0.82691	-1640.7274	-1516.63051	-124.0969
-0.28953	1.5	0.02336	0.02825	0.93105	-482.55731	-605.40854	122.85123
-0.26834	1.5	0.02611	0.02804	1.03592	-447.23621	-276.9265	-170.30971
-0.14746	1.5	0.02883	0.02783	1.14151	-245.76799	-151.37425	-94.39374
0.07397	1.5	0.03154	0.02763	1.24781	123.28741	-93.70648	216.99389
-0.1435	1.5	0.03422	0.02743	1.35484	-239.16433	-63.0862	-176.07813
0.10552	1.5	0.03689	0.02723	1.46258	175.86623	-45.0361	220.90233
-0.13389	1.5	0.03953	0.02703	1.57104	-223.15153	-33.54494	-189.60659
-0.03095	1.5	0.04215	0.02683	1.68022	-51.58354	-25.7876	-25.79595
-0.05161	1.5	0.04475	0.02663	1.79012	-86.01175	-20.30326	-65.70849
	--	0.04732	0.02644	--			
