DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-3.20438	1.5	5.8694E-4	0.02996	0.11799	-5324.6697	-41.111	-5283.5587
-3.21658	1.5	0.00351	0.02974	0.21711	-5331.59627	-65.11972	-5266.47654
-3.17898	1.5	0.00641	0.02952	0.31694	-5255.42867	-17.09587	-5238.3328
-3.14369	1.5	0.00929	0.0293	0.4175	-5183.01319	4.65956	-5187.67275
-3.05348	1.5	0.01214	0.02909	0.51877	-5018.96767	64.62333	-5083.591
-2.87752	1.5	0.01498	0.02888	0.62077	-4711.90031	113.19121	-4825.09153
-2.52666	1.5	0.01779	0.02866	0.72348	-4113.24206	-59.77608	-4053.46598
-1.48014	1.5	0.02059	0.02845	0.82691	-2355.05387	-34.843	-2320.21087
-0.53313	1.5	0.02336	0.02825	0.93105	-762.61356	128.03878	-890.65233
-0.33903	1.5	0.02611	0.02804	1.03592	-424.92536	-54.65067	-370.27468
-0.22152	1.5	0.02883	0.02783	1.14151	-214.79226	-24.85675	-189.93551
-0.20098	1.5	0.03154	0.02763	1.24781	-166.17911	-53.16695	-113.01216
-0.20755	1.5	0.03422	0.02743	1.35484	-162.65131	-88.54325	-74.10807
-0.19769	1.5	0.03689	0.02723	1.46258	-131.64374	-79.72088	-51.92285
-0.17092	1.5	0.03953	0.02703	1.57104	-72.36345	-34.234	-38.12946
-0.13466	1.5	0.04215	0.02683	1.68022	2.8319	31.8115	-28.9796
-0.13568	1.5	0.04475	0.02663	1.79012	15.99851	38.59471	-22.59619
-0.1592	1.5	0.04732	0.02644	1.90073	-8.23029	9.72826	-17.95855
-0.15893	1.5	0.04988	0.02624	2.01207	7.2718	21.74616	-14.47436
	--	0.05241	0.02605	--			
