DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-3.3827	1.5	5.8694E-4	0.02996	0.11799	-5637.83132	-5389.20958	-248.62174
-3.27921	1.5	0.00351	0.02974	0.21711	-5465.3452	-5379.58378	-85.76142
-3.30316	1.5	0.00641	0.02952	0.31694	-5505.26327	-5365.16467	-140.0986
-3.35251	1.5	0.00929	0.0293	0.4175	-5587.52488	-5342.51157	-245.01332
-3.04849	1.5	0.01214	0.02909	0.51877	-5080.8154	-5304.21447	223.39907
-3.00975	1.5	0.01498	0.02888	0.62077	-5016.25779	-5232.07723	215.81944
-2.89229	1.5	0.01779	0.02866	0.72348	-4820.48386	-5073.10137	252.61751
-2.71716	1.5	0.02059	0.02845	0.82691	-4528.60317	-4643.19889	114.59572
-2.08768	1.5	0.02336	0.02825	0.93105	-3479.47058	-3417.13909	-62.33149
-1.08862	1.5	0.02611	0.02804	1.03592	-1814.37009	-1583.11461	-231.25548
-0.10812	1.5	0.02883	0.02783	1.14151	-180.20262	-608.38552	428.1829
-0.09078	1.5	0.03154	0.02763	1.24781	-151.30223	-280.75352	129.45128
-0.0212	1.5	0.03422	0.02743	1.35484	-35.33194	-155.35918	120.02724
-0.05762	1.5	0.03689	0.02723	1.46258	-96.02597	-97.00821	0.98224
0.04841	1.5	0.03953	0.02703	1.57104	80.68283	-65.64194	146.32477
-0.09508	1.5	0.04215	0.02683	1.68022	-158.46161	-46.95877	-111.50284
-0.14396	1.5	0.04475	0.02663	1.79012	-239.9263	-34.9573	-204.969
-0.02514	1.5	0.04732	0.02644	1.90073	-41.90228	-26.78924	-15.11304
-0.07785	1.5	0.04988	0.02624	2.01207	-129.74679	-20.96948	-108.77731
0.11005	1.5	0.05241	0.02605	2.12413	183.41511	-16.66451	200.07962
0.06097	1.5	0.05493	0.02586	2.2369	101.61904	-13.37824	114.99728
	--	0.05742	0.02567	--			
