DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-3.22841	1.5	5.8694E-4	0.02996	0.11799	-5362.44852	-126.24126	-5236.20726
-3.16939	1.5	0.00351	0.02974	0.21711	-5248.77539	-28.03561	-5220.73978
-3.1745	1.5	0.00641	0.02952	0.31694	-5241.85732	-46.70245	-5195.15487
-3.07822	1.5	0.00929	0.0293	0.4175	-5065.86247	82.97321	-5148.83568
-3.01393	1.5	0.01214	0.02909	0.51877	-4943.05402	109.59798	-5052.652
-2.89363	1.5	0.01498	0.02888	0.62077	-4726.79084	81.39491	-4808.18575
-2.54855	1.5	0.01779	0.02866	0.72348	-4135.79333	-93.97751	-4041.81582
-1.4186	1.5	0.02059	0.02845	0.82691	-2236.56229	13.2998	-2249.86208
-0.53387	1.5	0.02336	0.02825	0.93105	-745.91637	73.64725	-819.56362
-0.3002	1.5	0.02611	0.02804	1.03592	-340.2681	-7.51349	-332.75461
-0.25944	1.5	0.02883	0.02783	1.14151	-256.01264	-86.553	-169.45964
-0.23156	1.5	0.03154	0.02763	1.24781	-193.11931	-92.55483	-100.56447
-0.16635	1.5	0.03422	0.02743	1.35484	-67.90606	-2.04433	-65.86174
-0.21821	1.5	0.03689	0.02723	1.46258	-137.69435	-91.59071	-46.10364
-0.16351	1.5	0.03953	0.02703	1.57104	-29.76581	4.05948	-33.82529
-0.20254	1.5	0.04215	0.02683	1.68022	-77.93673	-52.2571	-25.67962
-0.19665	1.5	0.04475	0.02663	1.79012	-51.14236	-31.14841	-19.99395
-0.17664	1.5	0.04732	0.02644	1.90073	-0.70214	15.15769	-15.85983
-0.21323	1.5	0.04988	0.02624	2.01207	-44.48254	-31.73209	-12.75045
	--	0.05241	0.02605	--			
