DH	INJV	Xt	Mt	XMt	NDH	Fit	DY
-3.11655	1.5	5.8694E-4	0.02996	0.11799	-5194.24348	-5036.47773	-157.76575
-2.86753	1.5	0.00351	0.02974	0.21711	-4779.21656	-5024.30538	245.08881
-3.00659	1.5	0.00641	0.02952	0.31694	-5010.98839	-5006.13423	-4.85416
-3.17201	1.5	0.00929	0.0293	0.4175	-5286.68769	-4977.63639	-309.05131
-2.91294	1.5	0.01214	0.02909	0.51877	-4854.90321	-4929.61037	74.70716
-2.86415	1.5	0.01498	0.02888	0.62077	-4773.5843	-4840.02596	66.44166
-2.69688	1.5	0.01779	0.02866	0.72348	-4494.79375	-4648.19738	153.40364
-2.49991	1.5	0.02059	0.02845	0.82691	-4166.50835	-4170.53197	4.02362
-1.90701	1.5	0.02336	0.02825	0.93105	-3178.35138	-3027.5947	-150.75667
-0.82147	1.5	0.02611	0.02804	1.03592	-1369.11621	-1518.35575	149.23954
-0.42407	1.5	0.02883	0.02783	1.14151	-706.77849	-658.29704	-48.48145
-0.25725	1.5	0.03154	0.02763	1.24781	-428.75627	-324.35446	-104.4018
-0.04612	1.5	0.03422	0.02743	1.35484	-76.85922	-185.27904	108.41981
-0.0384	1.5	0.03689	0.02723	1.46258	-64.00288	-117.75662	53.75374
-0.1814	1.5	0.03953	0.02703	1.57104	-302.33427	-80.60625	-221.72801
-0.15405	1.5	0.04215	0.02683	1.68022	-256.74392	-58.16968	-198.57424
0.02506	1.5	0.04475	0.02663	1.79012	41.76595	-43.63311	85.39906
0.03936	1.5	0.04732	0.02644	1.90073	65.59749	-33.6876	99.28509
0.2042	1.5	0.04988	0.02624	2.01207	340.32906	-26.58067	366.90973
-0.28595	1.5	0.05241	0.02605	2.12413	-476.58433	-21.31777	-455.26656
0.23817	1.5	0.05493	0.02586	2.2369	396.94263	-17.30196	414.24459
-0.04734	1.5	0.05742	0.02567	2.35039	-78.89318	-14.15804	-64.73514
-0.31435	1.5	0.05988	0.02548	2.4646	-523.91272	-11.64091	-512.27181
0.05248	1.5	0.06233	0.02529	2.57953	87.46402	-9.58514	97.04916
0.03088	1.5	0.06476	0.0251	2.69518	51.46537	-7.87589	59.34126
-0.00977	1.5	0.06716	0.02492	2.81155	-16.28245	-6.4315	-9.85095
	--	0.06954	0.02474	--			
